Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
26/06/2017,17:34:06,2,19,2,3,5
01/04/2018,8:19:51,3,1,2,16,5
29/12/2017,6:20:39,7,6,1,2,1
06/02/2018,17:15:23,7,1,3,14,2
13/05/2017,9:12:23,8,14,2,15,6
21/09/2017,7:29:36,8,17,1,8,4
04/10/2017,9:58:30,2,18,2,8,4
04/04/2017,18:10:50,8,7,1,11,4
03/12/2017,7:49:11,8,16,2,2,1
30/05/2017,21:06:53,5,5,3,9,5
29/04/2017,23:20:19,5,23,3,12,6
01/07/2017,9:18:15,8,18,2,11,1
05/07/2017,20:15:48,5,20,2,12,6
16/08/2017,16:38:41,4,19,1,10,1
15/10/2017,19:31:13,8,9,1,16,1
30/04/2017,23:11:22,6,20,2,6,3
28/10/2017,19:21:13,2,4,3,15,1
29/05/2017,0:26:58,5,9,2,7,6
18/12/2017,21:22:05,7,21,1,10,4
29/08/2017,17:00:04,5,4,1,10,5
27/11/2017,3:14:46,8,19,1,8,6
03/12/2017,2:06:40,2,15,2,11,5
04/09/2017,17:42:37,4,15,3,11,1
10/05/2017,21:09:53,6,17,1,11,3
29/06/2017,10:05:38,2,15,2,14,4
05/12/2017,10:52:39,4,20,1,12,5
12/09/2017,15:43:08,5,13,3,5,3
26/12/2017,5:29:15,5,24,3,9,5
07/11/2017,6:31:52,4,1,3,11,2
31/12/2017,2:26:13,1,4,1,10,2
06/02/2018,11:19:21,6,10,1,2,2
19/07/2017,16:15:50,5,21,3,8,2
24/05/2017,13:08:22,5,14,3,12,4
11/01/2018,16:53:41,5,21,3,2,6
16/10/2017,23:30:09,1,10,1,14,3
01/05/2017,16:45:19,8,6,2,16,5
18/03/2018,4:43:15,5,12,3,11,2
09/03/2018,20:52:24,5,5,3,13,5
08/05/2017,9:55:40,7,9,3,14,5
15/03/2018,0:18:19,4,13,3,12,3
17/07/2017,14:03:08,4,6,1,11,3
05/06/2017,9:11:59,8,12,1,9,3
03/12/2017,22:50:45,5,20,2,6,6
24/11/2017,6:40:38,6,9,3,11,4
23/10/2017,2:32:44,7,21,1,7,1
03/04/2018,23:52:15,3,24,2,3,4
05/07/2017,10:53:22,5,9,2,16,6
07/06/2017,3:42:34,1,19,1,2,6
10/05/2017,14:40:15,2,10,1,1,4
19/04/2017,8:09:30,1,11,2,8,5
04/01/2018,19:57:22,8,19,3,2,2
16/12/2017,15:12:11,5,13,1,15,5
17/06/2017,16:32:51,2,6,2,14,2
04/05/2017,18:29:55,8,6,2,11,4
18/01/2018,18:18:33,1,4,2,8,6
28/12/2017,9:49:34,2,13,2,15,1
19/07/2017,8:39:00,6,2,2,5,5
26/10/2017,0:35:03,6,1,3,16,1
10/11/2017,23:44:51,6,1,2,12,1
08/07/2017,11:06:14,4,22,1,9,6
17/05/2017,19:58:19,5,19,2,16,4
28/12/2017,17:53:54,6,12,3,14,1
08/12/2017,14:08:19,4,16,1,7,1
26/08/2017,3:39:38,7,1,1,2,6
03/03/2018,10:30:48,5,16,2,4,2
14/10/2017,6:36:56,6,16,1,6,2
21/11/2017,18:10:59,8,18,3,12,2
10/07/2017,15:39:06,6,18,2,9,4
05/09/2017,17:39:17,6,12,2,2,1
31/10/2017,19:22:09,7,10,1,13,1
13/10/2017,10:36:06,8,16,2,12,4
12/09/2017,3:21:02,5,24,3,13,1
22/05/2017,16:53:07,2,18,2,2,3
15/09/2017,10:18:32,2,24,3,9,4
20/01/2018,8:32:32,6,18,1,9,6
23/10/2017,9:42:33,6,1,3,8,4
27/12/2017,20:06:16,6,12,2,10,3
26/04/2017,2:07:51,6,8,2,7,4
19/08/2017,19:29:05,2,3,1,10,5
26/07/2017,8:53:55,5,4,2,15,2
15/11/2017,0:07:13,8,16,1,9,2
28/04/2017,9:56:16,3,10,1,9,2
04/02/2018,15:11:08,8,7,3,12,3
08/02/2018,14:13:47,8,17,3,7,5
16/10/2017,8:44:52,2,6,3,1,5
13/10/2017,0:13:35,5,16,2,16,3
01/07/2017,18:48:38,2,17,2,2,3
08/08/2017,18:05:43,2,14,3,9,5
07/09/2017,7:02:36,3,12,1,7,2
26/11/2017,14:02:09,5,7,1,6,3
25/07/2017,20:54:04,1,2,2,7,3
15/08/2017,9:06:30,4,5,1,16,3
02/03/2018,0:57:03,1,22,1,3,4
25/01/2018,16:47:42,1,21,2,10,6
26/07/2017,23:02:35,2,9,1,9,2
03/04/2018,10:39:21,2,21,2,1,6
16/09/2017,14:19:03,1,20,1,14,5
24/04/2017,0:01:43,6,5,3,11,4
03/12/2017,11:57:04,6,5,3,2,6
30/11/2017,23:00:57,1,6,1,9,4
19/12/2017,0:03:41,7,3,2,15,4
05/04/2017,2:04:32,7,10,3,16,4
29/11/2017,22:57:09,2,4,3,4,3
18/09/2017,6:06:48,3,23,3,14,3
15/06/2017,12:36:34,4,13,2,12,2
22/08/2017,12:53:07,3,20,1,3,4
29/07/2017,21:52:50,1,18,2,7,4
20/09/2017,15:35:43,3,19,1,3,4
10/05/2017,22:53:19,3,3,3,1,2
06/06/2017,15:12:36,4,7,2,7,6
08/07/2017,18:00:16,3,24,2,1,1
10/09/2017,23:46:58,6,16,2,2,2
25/09/2017,21:49:45,8,2,1,12,1
30/05/2017,11:40:04,1,21,2,10,4
01/10/2017,18:22:25,7,6,1,16,1
22/02/2018,20:40:52,5,24,2,8,1
26/04/2017,22:08:11,1,13,2,6,5
14/11/2017,21:46:56,3,10,1,7,3
24/10/2017,11:10:47,4,23,3,10,1
13/02/2018,13:03:10,5,13,2,4,6
02/03/2018,19:01:42,3,7,1,15,5
25/12/2017,4:42:24,1,7,1,8,1
06/11/2017,16:14:16,2,4,2,10,4
17/12/2017,6:52:56,5,5,2,4,5
06/09/2017,16:08:02,8,13,2,7,4
15/10/2017,22:52:36,3,9,3,13,1
31/05/2017,9:33:07,1,8,3,14,4
13/03/2018,21:49:10,4,8,3,3,5
11/11/2017,21:35:07,6,21,3,14,2
24/07/2017,15:15:03,6,18,3,12,3
24/07/2017,7:41:24,7,12,2,14,6
11/11/2017,15:54:18,1,23,2,12,1
06/03/2018,4:09:27,1,13,1,12,6
09/12/2017,1:37:26,4,4,1,7,1
04/06/2017,4:25:02,5,18,3,9,5
07/10/2017,18:29:35,5,15,1,16,1
16/11/2017,5:14:00,1,14,2,5,3
01/08/2017,5:42:22,8,3,1,15,4
11/07/2017,10:02:22,1,6,3,1,6
07/01/2018,8:03:01,8,13,3,2,2
13/10/2017,18:03:24,1,3,1,12,1
26/11/2017,10:35:34,8,20,1,2,4
09/03/2018,18:56:47,2,7,2,10,5
30/03/2018,13:56:42,1,12,3,7,6
15/07/2017,2:44:03,5,10,3,3,3
07/09/2017,11:42:46,8,8,3,15,4
02/02/2018,8:48:22,3,8,1,3,5
08/02/2018,11:30:08,2,17,3,6,2
01/03/2018,0:04:27,6,16,2,7,2
01/10/2017,23:19:39,2,20,1,7,1
07/10/2017,3:32:27,1,7,1,15,3
13/04/2017,16:31:52,3,14,3,11,2
21/05/2017,4:55:03,8,4,2,7,4
13/01/2018,20:38:37,7,15,3,16,1
04/02/2018,5:37:14,3,24,3,3,3
13/02/2018,23:53:26,1,6,1,11,5
28/03/2018,20:29:12,6,10,1,12,5
11/02/2018,14:39:37,5,4,3,13,5
16/10/2017,7:24:52,6,22,1,15,2
13/01/2018,19:41:49,5,22,1,2,5
08/03/2018,21:07:37,8,9,2,9,2
26/07/2017,4:39:05,3,13,1,16,6
24/04/2017,18:04:54,6,18,2,16,2
29/01/2018,1:52:10,5,17,2,11,3
02/05/2017,18:04:01,5,13,1,7,2
05/06/2017,16:55:22,7,17,2,16,6
07/11/2017,21:38:26,7,17,3,5,1
13/06/2017,7:55:35,2,7,3,16,1
19/05/2017,15:05:16,4,24,1,14,3
12/06/2017,13:00:12,7,6,2,12,2
13/12/2017,17:44:22,5,5,3,4,3
20/04/2017,6:10:47,5,5,1,4,2
18/12/2017,8:25:21,4,20,2,8,5
05/01/2018,13:37:28,7,9,3,6,1
17/05/2017,4:47:53,6,23,2,2,2
01/07/2017,1:15:25,7,17,3,6,3
18/01/2018,7:49:11,5,19,1,12,2
04/08/2017,23:07:13,5,7,3,8,5
15/12/2017,1:21:24,2,23,3,15,1
16/05/2017,23:41:52,4,6,1,8,2
11/01/2018,18:41:09,8,17,2,2,3
17/04/2017,20:57:07,5,14,2,5,1
27/07/2017,19:12:00,1,15,1,14,1
19/12/2017,8:18:51,1,13,2,14,6
25/05/2017,5:58:56,1,21,2,7,3
25/07/2017,14:31:43,2,13,2,13,3
17/07/2017,3:51:45,1,20,1,15,6
18/08/2017,20:49:52,7,9,2,4,5
25/04/2017,21:18:23,4,14,1,11,4
10/11/2017,6:50:58,6,22,3,9,6
17/04/2017,9:28:33,8,14,1,11,4
29/04/2017,5:44:47,8,17,3,5,6
31/03/2018,7:17:40,3,17,2,10,1
16/10/2017,3:45:01,2,3,3,3,5
02/02/2018,18:36:51,2,1,2,4,3
26/11/2017,6:05:53,1,18,3,15,3
11/05/2017,13:57:39,3,14,1,5,5
21/02/2018,2:36:31,2,14,1,4,2
09/09/2017,15:23:06,1,18,1,2,3
18/02/2018,5:26:30,8,1,3,4,1
25/02/2018,0:54:25,4,19,1,2,6
22/06/2017,12:21:49,5,12,3,4,4
04/12/2017,18:53:46,6,6,1,12,3
19/01/2018,7:41:11,7,5,3,8,6
24/12/2017,6:07:33,4,22,3,6,5
28/07/2017,20:00:24,1,18,1,4,6
01/10/2017,2:37:21,8,13,3,4,2
14/05/2017,6:01:22,1,8,1,16,1
17/11/2017,6:41:24,8,2,2,11,4
25/03/2018,3:13:44,1,1,2,4,3
12/06/2017,20:25:56,2,12,3,7,2
03/03/2018,19:25:11,8,8,3,8,3
29/06/2017,18:43:42,4,14,2,13,4
02/03/2018,17:51:21,8,9,3,7,5
24/03/2018,23:19:54,7,9,1,10,6
01/12/2017,19:20:25,5,6,3,15,3
26/09/2017,19:08:32,2,22,3,12,2
26/01/2018,14:19:23,1,14,2,14,4
24/06/2017,5:07:35,3,19,1,6,1
26/03/2018,13:14:21,3,22,2,15,4
29/11/2017,22:13:59,7,10,1,9,1
15/03/2018,8:01:52,2,24,1,7,4
13/12/2017,11:14:36,4,24,1,7,6
27/02/2018,8:02:05,2,6,1,6,2
28/09/2017,14:47:17,1,11,2,3,2
25/06/2017,23:22:23,4,4,1,7,2
23/10/2017,19:36:53,7,4,1,10,3
21/01/2018,12:15:44,2,22,1,3,2
30/07/2017,6:30:18,3,2,3,3,5
26/10/2017,10:09:32,4,2,2,1,2
14/02/2018,22:55:06,7,22,2,11,2
12/08/2017,14:43:18,2,14,2,7,2
24/02/2018,12:07:28,6,6,1,10,3
20/07/2017,15:46:36,5,7,2,7,3
29/04/2017,10:13:45,5,9,2,16,2
09/07/2017,11:23:49,3,22,2,14,1
22/02/2018,8:47:47,4,19,1,1,3
05/12/2017,5:25:23,4,11,3,2,4
18/06/2017,7:10:49,7,17,3,14,5
05/07/2017,16:50:06,5,18,1,6,3
06/05/2017,22:52:57,8,16,3,14,6
23/12/2017,4:31:57,5,2,2,12,6
31/01/2018,9:49:05,2,22,3,2,5
05/03/2018,14:09:01,2,15,2,4,6
06/03/2018,6:23:34,2,8,1,7,3
18/02/2018,11:45:24,1,12,1,9,3
09/10/2017,15:25:18,7,8,1,12,4
28/01/2018,23:37:00,1,23,1,15,5
06/01/2018,3:55:03,2,3,3,2,1
09/04/2017,9:04:09,7,19,2,10,2
24/08/2017,1:39:14,3,20,2,3,2
24/09/2017,10:12:49,5,14,3,12,2
12/12/2017,3:17:36,7,4,3,14,1
22/09/2017,23:24:45,2,11,1,5,3
27/04/2017,11:08:16,1,10,1,14,3
