Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
16/07/2017,15:36:44,7,7,1,13,4
21/04/2017,13:00:01,1,16,1,13,5
31/07/2017,4:41:45,6,4,1,7,4
25/02/2018,22:47:04,6,7,1,7,2
24/04/2017,10:10:21,6,7,1,7,2
08/05/2017,18:27:50,5,6,1,15,1
31/12/2017,13:01:56,12,10,1,4,3
06/01/2018,19:48:28,13,7,1,6,4
02/06/2017,10:00:26,16,5,1,14,2
11/03/2018,22:01:04,8,6,1,5,6
19/11/2017,7:18:33,12,16,1,5,1
20/06/2017,15:47:46,10,5,1,10,6
13/02/2018,19:29:53,9,12,1,13,4
20/09/2017,4:56:28,15,6,1,5,2
15/10/2017,6:41:00,5,16,1,13,1
24/12/2017,10:47:16,16,6,1,8,1
07/02/2018,13:42:25,2,8,1,16,5
19/03/2018,21:43:01,16,6,1,9,2
29/06/2017,1:02:14,2,1,1,10,3
11/06/2017,12:45:20,14,7,1,16,2
09/09/2017,1:31:07,2,15,1,5,5
04/09/2017,4:12:48,10,4,1,6,5
18/03/2018,4:32:22,3,1,1,10,4
03/11/2017,22:54:22,16,16,1,11,5
28/04/2017,3:00:45,8,7,1,1,1
12/04/2017,20:24:24,8,2,1,9,6
15/08/2017,18:26:22,3,9,1,10,1
21/04/2017,13:41:38,8,12,1,13,2
02/10/2017,15:13:58,3,12,1,10,1
06/02/2018,21:20:20,13,15,1,9,4
23/09/2017,22:58:55,2,8,1,1,5
14/07/2017,22:52:24,1,3,1,5,3
18/09/2017,2:51:21,10,10,1,9,5
02/07/2017,5:53:48,6,8,1,2,6
21/09/2017,3:50:56,14,16,1,15,1
20/07/2017,6:15:23,15,13,1,6,2
28/03/2018,5:45:12,16,15,1,15,2
01/06/2017,22:27:09,6,8,1,7,3
11/08/2017,6:59:02,5,8,1,10,3
06/04/2017,9:32:00,3,5,1,16,3
21/12/2017,21:49:53,7,1,1,10,5
17/09/2017,6:23:04,16,6,1,5,2
09/08/2017,21:29:03,5,1,1,5,4
26/02/2018,3:44:22,2,13,1,3,2
25/04/2017,15:15:19,12,5,1,4,5
04/01/2018,3:02:12,16,3,1,16,2
12/09/2017,23:01:57,2,13,1,10,5
15/04/2017,22:00:51,12,16,1,1,2
04/11/2017,7:46:04,14,7,1,3,4
07/05/2017,18:49:37,6,5,1,1,2
14/10/2017,20:21:08,9,3,1,6,4
10/01/2018,22:14:45,1,10,1,2,2
12/03/2018,11:39:34,4,14,1,6,5
22/03/2018,10:38:34,3,2,1,14,5
05/03/2018,9:41:25,8,14,1,15,6
01/02/2018,19:25:06,11,3,1,16,1
26/03/2018,21:36:08,11,3,1,7,6
03/03/2018,2:35:53,11,8,1,1,4
04/12/2017,13:07:02,12,6,1,12,2
06/12/2017,6:03:32,1,10,1,2,1
10/11/2017,6:25:43,3,1,1,10,5
21/08/2017,7:03:20,2,1,1,12,3
27/03/2018,17:38:19,5,12,1,11,2
01/06/2017,17:59:29,1,3,1,6,6
16/12/2017,7:43:38,16,6,1,11,3
21/11/2017,22:28:15,7,16,1,12,2
08/02/2018,1:53:14,2,2,1,12,2
14/08/2017,1:53:14,14,3,1,15,1
27/05/2017,9:27:39,16,16,1,16,4
11/08/2017,15:48:55,13,16,1,14,2
28/05/2017,0:34:57,7,7,1,10,6
18/03/2018,12:55:08,15,1,1,2,1
16/10/2017,15:36:11,13,1,1,11,1
23/10/2017,6:32:08,15,13,1,8,6
06/05/2017,17:26:08,16,11,1,8,3
07/02/2018,17:09:09,3,16,1,5,2
28/12/2017,9:21:14,8,6,1,3,6
31/03/2018,22:04:48,15,9,1,1,4
12/04/2017,23:10:31,10,6,1,15,2
04/06/2017,4:34:11,9,5,1,14,3
27/10/2017,16:39:44,10,12,1,2,1
31/01/2018,10:03:08,9,15,1,7,2
17/07/2017,21:48:35,2,13,1,3,5
29/06/2017,8:39:49,2,13,1,7,4
24/02/2018,14:30:36,10,13,1,15,4
20/09/2017,7:27:43,9,1,1,4,5
18/04/2017,2:24:32,15,8,1,13,3
15/12/2017,12:36:16,1,6,1,6,3
