Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
07/11/2017,19:51:53,7,1,1,1,6
15/01/2018,12:36:16,3,1,3,5,3
17/09/2017,17:00:28,6,1,2,5,1
21/11/2017,7:27:28,5,1,3,1,6
17/06/2017,9:20:24,7,1,3,4,2
14/08/2017,14:25:14,4,1,2,5,2
20/04/2017,23:20:32,1,1,2,7,5
25/06/2017,20:58:00,7,1,3,1,6
09/05/2017,10:16:10,1,1,2,2,1
18/06/2017,17:38:47,2,1,1,1,6
15/07/2017,4:47:46,4,1,1,1,3
15/09/2017,19:02:18,4,1,3,7,6
06/08/2017,9:15:04,1,1,3,7,3
16/11/2017,16:16:26,6,1,2,2,1
22/04/2017,20:25:19,4,1,1,8,3
14/12/2017,23:52:47,4,1,3,1,3
24/02/2018,4:30:56,3,1,3,4,3
13/05/2017,19:22:38,7,1,1,3,4
27/08/2017,14:17:54,8,1,1,7,5
16/01/2018,3:42:45,5,1,3,1,3
20/05/2017,21:07:09,4,1,2,7,2
13/04/2017,11:55:50,4,1,1,4,2
11/10/2017,23:21:16,8,1,3,3,2
18/01/2018,5:30:07,7,1,3,1,1
18/01/2018,10:29:15,8,1,3,1,1
07/02/2018,14:52:39,2,1,2,5,1
17/07/2017,21:17:00,8,1,1,7,6
03/08/2017,15:56:11,4,1,2,8,2
08/08/2017,10:25:57,4,1,1,7,2
04/05/2017,22:47:00,2,1,1,5,2
28/06/2017,22:14:30,4,1,2,7,4
07/08/2017,7:07:49,2,1,1,2,4
13/11/2017,2:46:59,1,1,3,3,3
14/12/2017,7:15:56,5,1,1,1,2
16/03/2018,15:59:28,6,1,3,3,4
14/06/2017,19:03:54,4,1,1,7,1
20/09/2017,16:13:58,3,1,3,5,1
10/09/2017,8:22:44,2,1,3,8,5
14/02/2018,17:28:50,2,1,2,6,4
28/05/2017,4:15:23,1,1,2,5,1
22/01/2018,2:10:44,4,1,2,7,4
19/07/2017,23:52:32,5,1,1,5,1
01/10/2017,8:04:52,5,1,1,2,2
03/04/2018,16:21:10,7,1,3,3,3
15/08/2017,18:48:28,8,1,3,1,4
03/02/2018,18:40:46,7,1,2,5,6
05/03/2018,5:13:04,5,1,3,7,2
01/06/2017,21:55:36,1,1,1,7,3
29/06/2017,14:12:13,3,1,2,2,4
15/10/2017,5:25:10,5,1,1,2,2
13/06/2017,19:19:09,3,1,2,1,3
12/08/2017,21:02:56,1,1,1,7,5
27/03/2018,7:15:19,6,1,2,2,1
