Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
27/03/2018,0:52:17,3,1,3,8,1
03/03/2018,1:48:13,8,4,1,7,5
05/10/2017,20:32:58,2,11,2,5,2
10/04/2017,23:56:57,4,4,3,6,1
29/11/2017,1:15:40,5,18,2,4,1
29/06/2017,10:40:59,2,6,2,1,4
05/06/2017,14:14:51,1,20,3,6,4
05/01/2018,7:17:01,8,21,1,3,3
19/08/2017,14:37:39,4,17,2,8,4
05/11/2017,2:00:12,2,19,1,5,4
22/11/2017,16:08:21,3,23,2,5,1
08/10/2017,15:47:42,7,8,2,1,3
22/02/2018,18:24:12,5,1,2,3,4
09/12/2017,0:03:54,2,17,3,4,3
13/08/2017,11:40:08,7,8,1,7,1
07/10/2017,12:39:46,1,24,1,5,3
09/06/2017,14:49:02,7,13,1,3,4
29/09/2017,13:16:34,2,12,3,3,6
21/02/2018,14:39:17,7,13,2,2,5
04/06/2017,14:40:56,1,21,2,8,1
19/11/2017,18:36:18,8,11,1,5,4
27/10/2017,16:05:05,3,20,3,1,4
08/09/2017,3:20:37,3,22,3,7,6
18/08/2017,10:19:20,1,5,2,7,6
29/04/2017,17:07:24,2,9,1,3,1
14/07/2017,4:23:08,7,3,2,5,6
06/02/2018,11:30:22,2,3,2,7,1
07/07/2017,13:00:29,4,6,1,3,3
29/08/2017,16:33:35,6,8,1,5,2
16/11/2017,9:37:11,8,5,3,2,3
25/04/2017,17:47:30,3,16,3,5,6
21/11/2017,5:56:21,2,16,2,2,2
15/07/2017,12:06:16,6,6,2,5,4
12/10/2017,23:53:51,3,19,3,1,4
02/08/2017,13:11:28,7,18,2,6,3
01/09/2017,9:10:42,5,8,3,8,6
11/11/2017,13:37:29,4,3,3,5,1
15/05/2017,14:43:30,3,8,1,1,5
27/10/2017,15:39:04,7,13,1,2,4
24/12/2017,7:13:43,8,18,2,6,1
07/01/2018,8:05:46,1,16,1,6,2
14/04/2017,23:25:23,2,23,2,5,3
21/11/2017,6:59:17,5,23,3,6,3
11/11/2017,4:53:03,5,12,1,8,4
21/12/2017,23:15:55,1,18,3,8,4
22/04/2017,18:42:39,6,24,3,4,1
31/01/2018,9:50:09,4,22,2,7,1
18/12/2017,10:22:58,3,21,1,6,4
04/08/2017,9:56:09,5,12,3,4,4
22/01/2018,17:44:23,5,13,2,3,2
11/10/2017,19:42:17,3,19,3,1,6
10/08/2017,17:32:42,8,21,2,1,4
31/03/2018,9:50:57,6,15,1,6,2
30/12/2017,12:40:40,7,19,1,6,1
26/12/2017,3:24:05,5,10,3,4,6
04/02/2018,5:35:33,4,12,3,1,2
23/05/2017,10:18:53,1,15,2,8,3
14/08/2017,9:50:21,6,10,2,3,1
29/08/2017,3:02:35,4,15,1,1,2
29/03/2018,13:35:54,4,11,3,7,5
08/07/2017,14:40:39,1,10,1,2,6
02/10/2017,3:37:37,6,13,2,2,1
02/04/2018,13:59:29,1,23,2,1,4
21/04/2017,11:05:47,3,3,2,7,6
15/10/2017,23:08:02,2,12,3,2,3
24/09/2017,1:35:40,7,6,3,3,1
15/06/2017,12:33:45,3,16,2,8,2
27/12/2017,3:04:15,2,9,2,4,1
25/06/2017,0:18:54,5,14,3,7,1
17/12/2017,11:32:36,3,5,1,2,1
16/10/2017,11:48:23,2,13,1,7,6
07/09/2017,2:18:51,7,6,1,5,5
24/02/2018,2:34:16,1,1,1,5,1
14/05/2017,18:44:49,2,2,1,4,4
30/10/2017,3:08:07,4,21,1,3,5
02/09/2017,13:01:35,4,6,2,7,2
26/08/2017,1:05:42,5,9,1,5,4
25/07/2017,12:10:40,3,19,1,6,5
17/01/2018,3:33:30,1,5,3,7,6
16/11/2017,3:01:51,7,6,2,4,6
25/02/2018,4:23:56,7,22,3,6,5
05/11/2017,1:33:51,4,15,2,7,2
08/02/2018,7:21:00,5,16,3,2,6
13/12/2017,9:31:19,1,24,2,5,1
08/12/2017,14:14:45,3,6,1,7,5
16/05/2017,4:09:11,3,14,1,2,2
23/12/2017,2:18:29,6,19,2,4,5
14/08/2017,21:33:27,6,8,3,2,4
05/06/2017,8:18:04,4,23,1,5,5
01/08/2017,16:30:33,3,22,2,2,3
07/11/2017,11:27:19,3,21,1,8,6
08/03/2018,1:54:21,2,12,2,5,5
20/07/2017,10:28:23,5,19,3,5,2
16/05/2017,18:29:25,5,7,2,5,3
30/01/2018,8:13:26,7,3,3,1,2
31/12/2017,6:37:12,1,8,1,8,6
02/02/2018,18:32:17,4,13,1,4,5
20/12/2017,12:31:52,1,6,3,7,2
