Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
22/01/2018,1:29:24,1,6,3,6,1
04/02/2018,0:22:47,6,13,1,6,5
05/12/2017,1:14:13,8,3,3,8,4
03/09/2017,0:04:13,4,9,2,8,5
17/03/2018,1:24:47,6,9,3,6,3
19/06/2017,1:00:49,4,20,3,6,1
30/01/2018,1:17:08,6,14,1,6,5
05/06/2017,0:43:03,1,6,2,6,6
11/06/2017,0:38:21,2,3,3,4,3
23/04/2017,0:25:31,7,6,2,4,1
14/12/2017,1:47:54,4,13,3,6,2
29/01/2018,1:38:22,7,7,2,3,2
24/05/2017,0:54:59,2,13,3,4,5
22/03/2018,1:06:54,1,7,3,6,2
11/10/2017,0:38:24,6,18,2,5,6
25/03/2018,0:18:43,7,19,3,6,4
09/08/2017,1:31:01,8,2,1,2,6
01/01/2018,1:28:05,3,19,1,8,1
20/01/2018,1:01:27,5,2,3,7,6
09/09/2017,1:36:51,7,6,3,4,5
15/11/2017,0:59:57,3,2,1,2,1
20/04/2017,1:25:50,5,7,3,5,2
04/08/2017,0:21:56,7,21,2,6,6
30/08/2017,1:53:07,7,18,2,5,6
09/05/2017,0:32:25,4,1,2,6,5
12/04/2017,0:07:42,5,19,3,8,1
19/03/2018,0:08:40,5,4,3,7,4
02/01/2018,0:35:38,5,23,3,8,3
12/12/2017,1:38:58,7,11,3,8,6
18/07/2017,0:08:39,1,17,2,6,5
05/06/2017,1:27:12,1,9,1,4,2
19/12/2017,1:55:43,3,11,1,4,3
29/11/2017,1:05:43,2,21,2,6,1
16/04/2017,1:06:24,2,3,3,1,3
16/10/2017,1:47:34,4,7,1,1,5
10/09/2017,1:48:37,5,8,3,5,4
22/04/2017,1:58:47,6,20,1,5,5
13/06/2017,1:30:52,2,24,2,6,5
30/05/2017,0:23:49,2,22,1,1,2
14/05/2017,1:15:20,1,13,2,7,1
20/02/2018,1:13:27,5,18,3,3,1
07/08/2017,1:18:17,3,15,3,2,4
16/05/2017,1:03:37,1,21,1,3,3
28/06/2017,0:29:30,6,14,1,2,6
04/12/2017,0:57:35,1,16,2,1,2
21/10/2017,1:15:30,5,1,1,5,2
28/07/2017,0:31:52,7,16,3,3,4
12/12/2017,1:28:06,2,23,1,4,1
11/05/2017,1:42:14,1,10,2,4,4
29/03/2018,0:34:32,2,13,2,8,1
04/10/2017,0:19:18,6,16,1,2,3
16/03/2018,1:04:29,5,2,2,5,3
20/12/2017,1:22:36,4,11,1,2,2
13/03/2018,0:04:33,6,14,3,2,1
10/04/2017,0:06:54,4,21,3,3,3
04/10/2017,1:43:48,1,18,3,5,4
28/04/2017,1:42:08,6,14,2,4,5
01/08/2017,1:17:25,4,15,2,5,1
12/12/2017,1:33:26,4,7,3,5,1
12/05/2017,1:51:41,1,24,2,6,1
23/10/2017,0:29:23,3,19,3,3,3
18/02/2018,1:46:51,4,17,1,8,5
03/08/2017,0:45:30,5,24,2,3,6
08/02/2018,1:33:20,5,8,2,3,3
05/10/2017,0:12:10,6,17,2,8,6
13/11/2017,1:28:34,2,20,3,3,2
20/07/2017,0:57:19,4,24,1,7,3
06/10/2017,0:03:39,8,4,2,1,4
23/06/2017,0:08:41,8,13,1,4,2
28/12/2017,0:41:41,3,4,1,7,3
05/07/2017,0:48:50,2,6,2,6,5
04/12/2017,1:27:38,5,15,2,7,4
21/11/2017,0:35:31,8,9,1,8,5
28/06/2017,1:22:44,1,11,3,7,6
24/09/2017,0:02:33,8,7,3,4,6
04/07/2017,0:11:33,5,7,3,1,5
21/12/2017,1:23:03,7,10,1,8,4
09/02/2018,0:43:13,7,21,3,8,6
18/04/2017,1:04:34,2,22,2,5,4
03/06/2017,0:34:03,3,18,1,7,6
20/08/2017,1:35:22,1,8,1,1,2
14/11/2017,1:39:49,7,18,1,7,3
29/10/2017,1:56:19,1,2,3,6,1
25/09/2017,0:54:31,5,5,1,3,4
25/04/2017,0:24:49,6,21,2,3,5
31/03/2018,0:20:18,6,8,2,2,1
30/08/2017,0:37:51,4,13,1,6,4
02/08/2017,0:23:49,3,14,2,2,2
29/05/2017,0:47:40,2,12,2,3,1
11/08/2017,1:04:26,3,9,2,4,3
05/02/2018,1:29:26,3,15,3,5,6
14/02/2018,1:24:10,5,5,2,4,3
21/05/2017,0:54:42,4,7,3,2,3
02/03/2018,0:59:38,8,13,1,4,3
24/04/2017,1:14:59,2,21,1,6,4
05/05/2017,1:45:44,1,8,1,5,3
27/12/2017,1:19:20,6,14,3,5,2
25/12/2017,1:14:07,3,3,1,6,3
26/06/2017,0:03:25,7,2,1,4,1
08/05/2017,1:38:29,1,16,1,4,4
20/10/2017,1:01:34,5,17,3,7,5
08/12/2017,1:22:50,8,7,3,5,3
07/04/2017,1:26:53,5,6,3,7,4
14/01/2018,0:04:07,2,11,2,6,6
14/08/2017,1:53:13,1,24,3,7,6
21/01/2018,0:30:18,6,4,1,6,6
03/05/2017,0:52:19,7,22,1,4,3
02/06/2017,1:13:39,4,12,3,5,4
31/05/2017,0:25:34,2,2,1,4,2
04/04/2017,0:14:01,8,20,2,6,3
25/07/2017,1:15:20,4,21,3,5,2
08/11/2017,0:17:10,4,4,2,7,2
14/01/2018,1:29:02,7,15,2,8,1
10/06/2017,1:39:39,3,12,3,6,4
25/04/2017,0:58:59,6,13,1,2,1
21/08/2017,0:15:03,5,16,1,1,3
03/11/2017,0:58:56,4,1,2,8,5
27/09/2017,1:44:45,3,24,1,7,1
19/03/2018,0:03:21,2,3,3,2,1
29/09/2017,1:23:40,2,18,1,3,5
22/09/2017,0:50:30,1,16,2,7,2
13/04/2017,1:38:08,7,3,1,4,5
21/12/2017,1:54:14,8,22,1,1,2
21/09/2017,0:08:41,6,10,3,8,3
22/09/2017,1:33:14,7,11,2,7,1
11/07/2017,1:05:48,2,14,1,3,1
01/01/2018,1:19:32,8,6,3,3,6
