Data_captura,Hora_captura,Codigo_jogo,Codigo_jogador,Tipo_AEEJ,Codigo_AEEJ,Codigo_expressao
05/04/2017,0:47:56,4,22,1,6,3
11/08/2017,1:06:08,4,19,1,3,3
15/09/2017,0:59:45,5,19,2,6,1
05/08/2017,0:56:27,8,12,2,1,3
19/03/2018,0:54:19,1,3,1,7,6
13/09/2017,1:10:11,7,17,1,5,3
04/05/2017,1:23:19,4,12,3,5,6
27/06/2017,0:42:25,7,23,3,2,1
21/05/2017,0:47:45,6,18,3,6,4
01/11/2017,1:17:00,4,24,2,3,2
28/07/2017,0:52:01,7,8,3,5,4
15/01/2018,0:38:14,2,9,2,6,4
22/09/2017,0:13:38,3,19,1,1,6
01/05/2017,0:45:00,2,5,1,5,5
28/01/2018,1:04:45,5,11,2,1,1
18/11/2017,0:22:52,8,19,2,1,2
07/04/2017,0:34:39,4,13,3,5,6
11/11/2017,1:22:12,5,8,1,1,3
03/02/2018,0:29:48,6,18,2,5,2
02/07/2017,1:10:05,3,14,1,7,6
27/09/2017,1:11:40,2,18,3,8,2
20/09/2017,0:33:18,4,4,1,2,4
21/06/2017,0:09:37,6,4,3,4,5
25/07/2017,1:09:04,6,17,3,4,4
08/11/2017,1:26:34,5,13,2,4,5
24/09/2017,0:26:54,4,16,1,5,2
29/11/2017,1:02:29,8,19,2,4,3
25/01/2018,0:10:20,8,16,1,5,6
17/06/2017,0:50:27,7,10,3,3,2
05/11/2017,0:06:09,7,17,2,7,2
10/06/2017,1:06:45,5,8,3,8,6
14/10/2017,0:08:37,1,6,2,6,4
06/07/2017,1:20:28,4,9,2,2,4
16/09/2017,0:01:45,2,1,1,4,6
04/06/2017,0:59:08,1,5,1,4,1
12/05/2017,1:12:31,6,13,1,4,1
11/08/2017,1:15:04,5,9,1,6,5
30/03/2018,0:40:22,1,22,2,2,3
28/07/2017,0:52:32,1,13,2,5,2
24/07/2017,1:24:18,7,21,2,2,5
28/01/2018,0:43:52,8,9,3,1,2
15/09/2017,1:30:00,3,20,3,8,3
22/05/2017,0:48:48,8,22,3,6,6
10/11/2017,0:53:03,8,17,2,1,3
19/06/2017,0:54:43,3,14,2,1,6
22/08/2017,0:13:58,4,16,1,1,5
27/02/2018,0:10:23,7,1,3,6,1
06/08/2017,0:56:08,8,21,1,6,5
09/08/2017,1:10:10,2,8,2,2,4
15/12/2017,0:11:38,2,2,2,7,2
25/10/2017,0:01:48,5,16,1,5,6
24/04/2017,0:29:35,8,12,3,1,3
